Sr_No,Furnished Status,Facing,Car Parking,Type of Ownership,Booking Amount,Buy Total Price,CITY,PROPERTY_TYPE
73,Furnished,North,available,Freehold,0,8700000,New Delhi,Townhouse
74,Unfurnished,East,available,Freehold,0,45000000,New Delhi,Townhouse
75,Unfurnished,West,available,Freehold,0,70000000,New Delhi,Townhouse
76,Unfurnished,South,available,Freehold,0,60000000,New Delhi,Townhouse
77,Unfurnished,North,available,Freehold,0,5400000,New Delhi,Townhouse
78,Unfurnished,East,available,Freehold,0,5000000,New Delhi,Townhouse
79,Unfurnished,West,available,Freehold,0,19000000,New Delhi,Townhouse
80,Unfurnished,South,available,Freehold,0,50000000,New Delhi,Townhouse
81,Unfurnished,North,available,Freehold,0,44925000,California,Townhouse
82,Unfurnished,East,available,Freehold,0,44925000,California,Townhouse
83,Unfurnished,West,available,Freehold,0,44925000,California,Townhouse
84,Unfurnished,South,available,Freehold,0,44925000,California,Townhouse
85,Unfurnished,North,available,Freehold,0,49425000,California,Townhouse
86,Unfurnished,East,available,Freehold,0,50175000,California,Townhouse
87,Unfurnished,West,available,Freehold,0,55500000,California,Townhouse
88,Unfurnished,South,available,Freehold,0,59625000,California,Townhouse
89,Unfurnished,North,available,Freehold,0,71925000,California,Townhouse
90,Unfurnished,East,available,Freehold,0,103875000,California,Townhouse
91,Unfurnished,West,available,Freehold,0,157000000,California,Townhouse
92,Unfurnished,South,available,Freehold,0,179500000,California,Townhouse
93,Unfurnished,North,available,Freehold,0,184900000,California,Townhouse
94,Unfurnished,East,available,Freehold,0,22496250,California,Townhouse
95,Unfurnished,West,available,Freehold,0,27500000,California,Townhouse
96,Unfurnished,South,available,Freehold,0,32922500,California,Townhouse
97,Unfurnished,North,available,Freehold,0,35625000,California,Townhouse
98,Unfurnished,East,available,Freehold,0,35625000,California,Townhouse
99,Unfurnished,West,available,Freehold,0,36375000,California,Townhouse
100,Unfurnished,South,available,Freehold,0,37492500,California,Townhouse
101,Unfurnished,North,available,Freehold,0,39374225,California,Townhouse
102,Unfurnished,East,available,Freehold,0,39375000,California,Townhouse
103,Furnished,South,available,Freehold,0,39375000,California,Townhouse
104,Unfurnished,West,available,Freehold,0,40117500,California,Townhouse
105,Unfurnished,North,available,Freehold,0,69000000,California,Townhouse
106,Unfurnished,East,available,Freehold,0,82500000,California,Townhouse
107,Unfurnished,West,available,Freehold,0,149500000,California,Townhouse
108,Unfurnished,South,available,Freehold,0,75000000,California,Townhouse
109,Unfurnished,North,available,Freehold,0,76900000,California,Townhouse
110,Unfurnished,East,available,Freehold,0,83990000,California,Townhouse
111,Unfurnished,West,available,Freehold,0,89999900,California,Townhouse
112,Unfurnished,South,available,Freehold,0,95900000,California,Townhouse
113,Unfurnished,North,available,Freehold,0,119999900,California,Townhouse
114,Unfurnished,East,available,Freehold,0,52500000,California,Townhouse
115,Unfurnished,West,available,Freehold,0,54999000,California,Townhouse
116,Unfurnished,South,available,Freehold,0,72990000,California,Townhouse
117,Unfurnished,North,available,Freehold,0,83988800,California,Townhouse
118,Unfurnished,East,available,Freehold,0,87500000,California,Townhouse
119,Unfurnished,South,available,Freehold,0,98800000,California,Townhouse
120,Unfurnished,West,available,Freehold,0,229500000,California,Townhouse
121,Unfurnished,North,available,Freehold,0,71990000,California,Townhouse
122,Unfurnished,West,available,Freehold,0,82500000,California,Townhouse
123,Furnished,South,available,Freehold,0,88500000,California,Townhouse
124,Unfurnished,East,available,Freehold,0,99899900,California,Townhouse
125,Unfurnished,North,available,Freehold,0,99980000,California,Townhouse
126,Unfurnished,West,available,Freehold,0,110000000,California,Townhouse
127,Unfurnished,South,available,Freehold,0,79900000,California,Duplex
128,Unfurnished,East,available,Freehold,0,85900000,California,Duplex
129,Unfurnished,North,available,Freehold,0,139500000,California,Duplex
130,Unfurnished,East,available,Freehold,0,139999900,California,Duplex
131,Unfurnished,West,available,Freehold,0,140000000,California,Duplex
132,Unfurnished,South,available,Freehold,0,144900000,California,Duplex
133,Unfurnished,North,available,Freehold,0,199500000,California,Duplex
134,Unfurnished,East,available,Freehold,0,269500000,California,Duplex
135,Unfurnished,West,available,Freehold,0,349500000,California,Duplex
136,Furnished,South,available,Freehold,0,479500000,California,Duplex
137,Unfurnished,North,available,Freehold,0,500000000,California,Duplex
138,Furnished,East,available,Freehold,0,1275000000,California,Duplex
139,Unfurnished,South,available,Freehold,0,25990000,California,Duplex
140,Unfurnished,West,available,Freehold,0,34500000,California,Duplex
141,Unfurnished,North,available,Freehold,0,37600000,California,Duplex
142,Unfurnished,East,available,Freehold,0,42500000,California,Duplex
143,Unfurnished,West,available,Freehold,0,42500000,California,Duplex
144,Unfurnished,South,available,Freehold,0,43500000,California,Duplex
145,Unfurnished,North,available,Freehold,0,44900000,California,Duplex
146,Unfurnished,East,available,Freehold,0,45000000,California,Duplex
147,Unfurnished,West,available,Freehold,0,45990000,California,Duplex
148,Unfurnished,South,available,Freehold,0,48000000,California,Duplex
149,Unfurnished,North,available,Condominium,0,46000000,California,Condo
150,Unfurnished,East,available,Condominium,0,74900000,California,Condo
151,Unfurnished,West,available,Condominium,0,79500000,California,Condo
152,Unfurnished,South,available,Condominium,0,89500000,California,Condo
153,Unfurnished,North,available,Condominium,0,99900000,California,Condo
154,Unfurnished,East,available,Condominium,0,127500000,California,Condo
155,Unfurnished,West,available,Condominium,0,167000000,California,Condo
156,Unfurnished,South,available,Condominium,0,194900000,California,Condo
157,Unfurnished,North,available,Condominium,0,43000000,California,Condo
158,Unfurnished,East,available,Condominium,0,45999500,California,Condo
159,Unfurnished,West,available,Condominium,0,57500000,California,Condo
160,Unfurnished,South,available,Condominium,0,57800000,California,Condo
161,Unfurnished,North,available,Condominium,0,58500000,California,Condo
162,Unfurnished,East,available,Condominium,0,59000000,California,Condo
163,Unfurnished,West,available,Condominium,0,59900000,California,Condo
164,Unfurnished,South,available,Condominium,0,60299000,California,Condo
165,Unfurnished,East,available,Condominium,0,64980000,California,Condo
166,Unfurnished,West,available,Condominium,0,65000000,California,Condo
167,Unfurnished,South,available,Condominium,0,65999000,California,Condo
168,Unfurnished,North,available,Condominium,0,67500000,California,Condo
169,Unfurnished,East,not available,Condominium,0,74900000,California,Condo
170,Furnished,West,available,Condominium,0,77400000,California,Condo
171,Unfurnished,South,available,Condominium,0,11999000,California,Condo
172,Unfurnished,North,not available,Condominium,0,16999000,California,Condo
173,Unfurnished,East,available,Condominium,0,19500000,California,Condo
174,Unfurnished,West,available,Condominium,0,22900000,California,Condo
175,Furnished,South,not available,Condominium,0,59900000,California,Condo
176,Unfurnished,North,not available,Condominium,0,8990000,California,Condo
177,Unfurnished,East,available,Condominium,0,16490000,California,Condo
178,Unfurnished,West,not available,Condominium,0,18500000,California,Condo
179,Furnished,South,available,Condominium,0,18500000,California,Condo
180,Furnished,North,available,Condominium,0,18999900,California,Condo
181,Unfurnished,East,not available,Condominium,0,19900000,California,Condo
182,Unfurnished,West,not available,Condominium,0,19990000,California,Condo
183,Unfurnished,South,available,Condominium,0,19990000,California,Condo
184,Unfurnished,North,available,Condominium,0,12000000,California,Condo
185,Unfurnished,East,available,Condominium,0,21990000,California,Condo
186,Unfurnished,West,not available,Condominium,0,12500000,California,Condo
187,Unfurnished,South,available,Condominium,0,15000000,California,Condo
188,Furnished,North,not available,Condominium,0,18000000,California,Condo
189,Unfurnished,East,available,Condominium,0,28888800,California,Condo
190,Unfurnished,West,not available,Condominium,0,27000000,California,Condo
191,Unfurnished,South,available,Freehold,0,29995000,California,mobile Home
192,Unfurnished,East,not available,Freehold,0,37000000,California,mobile Home
193,Unfurnished,West,available,Freehold,0,43900000,California,mobile Home
194,Unfurnished,South,not available,Freehold,0,47500000,California,mobile Home
195,Unfurnished,North,available,Freehold,0,47500000,California,mobile Home
196,Unfurnished,East,not available,Freehold,0,48500000,California,mobile Home
197,Furnished,West,available,Freehold,0,49990000,California,mobile Home
198,Unfurnished,South,available,Freehold,0,52499900,California,mobile Home
199,Unfurnished,North,available,Freehold,0,52500000,California,mobile Home
200,Unfurnished,East,available,Freehold,0,52500000,California,mobile Home
201,Unfurnished,West,available,Freehold,0,53490000,California,mobile Home
202,Unfurnished,South,available,Freehold,0,54900000,California,mobile Home
203,Unfurnished,North,not available,Freehold,0,59500000,California,mobile Home
204,Unfurnished,East,available,Freehold,0,59800000,California,mobile Home
205,Unfurnished,West,available,Freehold,0,62500000,California,mobile Home
206,Unfurnished,South,not available,Freehold,0,64900000,California,mobile Home
207,Unfurnished,North,available,Freehold,0,66900000,California,mobile Home
208,Unfurnished,East,not available,Freehold,0,72000000,California,mobile Home
209,Unfurnished,West,not available,Freehold,0,72300000,California,mobile Home
210,Unfurnished,South,available,Freehold,0,74900000,California,mobile Home
211,Unfurnished,North,not available,Freehold,0,59000000,California,House
212,Unfurnished,East,available,Freehold,0,59900000,California,House
213,Unfurnished,West,not available,Freehold,0,65900000,California,House
214,Unfurnished,South,available,Freehold,0,66900000,California,House
215,Unfurnished,North,available,Freehold,0,74000000,California,House
216,Unfurnished,East,not available,Freehold,0,79500000,California,House
217,Unfurnished,West,available,Freehold,0,95900000,California,House
218,Unfurnished,South,available,Freehold,0,138500000,California,House
219,Unfurnished,North,available,Freehold,0,157000000,California,House
220,Unfurnished,East,available,Freehold,0,179500000,California,House
221,Unfurnished,West,available,Freehold,0,184900000,California,House
222,Unfurnished,North,not available,Freehold,0,29995000,California,House
223,Furnished,South,available,Freehold,0,37000000,California,House
224,Unfurnished,East,available,Freehold,0,43900000,California,House
225,Unfurnished,West,available,Freehold,0,47500000,California,House
226,Furnished,North,available,Freehold,0,47500000,California,House
227,Unfurnished,South,available,Freehold,0,48500000,California,House
228,Furnished,East,available,Freehold,0,49990000,California,House
229,Unfurnished,West,not available,Freehold,0,52499900,California,House
230,Unfurnished,North,not available,Freehold,0,52500000,California,House
231,Furnished,South,not available,Freehold,0,52500000,California,House
232,Furnished,East,available,Freehold,0,53490000,California,House
233,Furnished,West,available,Freehold,0,52992712,California,House
234,Unfurnished,North,available,Freehold,0,167500000,London,House
235,Unfurnished,South,not available,Freehold,0,68629000,London,Flat / Apartment
236,Unfurnished,East,not available,Freehold,0,77727000,London,Flat / Apartment
237,Unfurnished,West,available,Freehold,0,186982000,London,House
238,Unfurnished,North,available,Freehold,0,71391000,London,Flat / Apartment
239,Unfurnished,South,available,Freehold,0,44516400,London,Flat / Apartment
240,Unfurnished,East,available,Freehold,0,156161000,London,House
241,Unfurnished,West,available,Freehold,0,68629000,London,New development
242,Unfurnished,North,not available,Freehold,0,264361000,London,House
243,Unfurnished,South,available,Freehold,0,97877000,London,Flat / Apartment
244,Unfurnished,East,available,Freehold,0,253888000,London,House
245,Unfurnished,West,not available,Freehold,0,264361000,London,House
246,Unfurnished,North,not available,Freehold,0,296190580,London,House
247,Unfurnished,South,available,Freehold,0,76872500,London,Flat / Apartment
248,Unfurnished,East,available,Freehold,0,79312500,London,Flat / Apartment
249,Unfurnished,West,available,Freehold,0,1322875000,London,House
250,Unfurnished,North,available,Freehold,0,153514000,London,Flat / Apartment
251,Unfurnished,South,not available,Freehold,0,132287500,London,House
252,Unfurnished,East,available,Freehold,0,240987860,London,New development
253,Unfurnished,West,available,Freehold,0,113988500,London,Duplex
254,Unfurnished,North,available,Freehold,0,52972000,London,Flat / Apartment
255,Unfurnished,South,available,Freehold,0,584087500,London,House
256,Unfurnished,East,not available,Freehold,0,947830000,London,New development
257,Unfurnished,West,not available,Freehold,0,124220500,London,Flat / Apartment
258,Unfurnished,North,not available,Freehold,0,57700000,London,Flat / Apartment
259,Unfurnished,South,available,Freehold,0,137530000,London,House
260,Unfurnished,East,available,Freehold,0,84770000,London,Flat / Apartment
261,Unfurnished,West,available,Freehold,0,371895000,London,House
262,Unfurnished,North,available,Freehold,0,39711353,London,New development
263,Unfurnished,South,available,Freehold,0,42376000,London,Flat / Apartment
264,Unfurnished,East,available,Freehold,0,116506000,London,Flat / Apartment
265,Unfurnished,West,available,Freehold,0,127752000,London,House
266,Unfurnished,North,not available,Freehold,0,132287500,London,House
267,Unfurnished,South,available,Freehold,0,73510500,London,Flat / Apartment
268,Unfurnished,East,not available,Freehold,0,184002000,London,House
269,Unfurnished,West,available,Freehold,0,249282000,London,House
270,Unfurnished,North,available,Freehold,0,127752000,London,House
271,Unfurnished,South,available,Freehold,0,103206000,London,Flat / Apartment
272,Unfurnished,East,not available,Freehold,0,90178000,London,House
273,Unfurnished,West,not available,Freehold,0,170075718,London,House
274,Unfurnished,North,available,Freehold,0,97877000,London,Flat / Apartment
275,Unfurnished,South,available,Freehold,0,55625400,London,Flat / Apartment
276,Unfurnished,East,not available,Freehold,0,58374800,London,Flat / Apartment
277,Unfurnished,West,available,Freehold,0,1055903220,London,House
278,Unfurnished,North,available,Freehold,0,196092000,London,House
279,Unfurnished,South,not available,Freehold,0,55587600,London,New development
280,Furnished,East,not available,Freehold,0,232681000,London,House
281,Unfurnished,West,available,Freehold,0,365156000,London,House
282,Unfurnished,North,available,Freehold,0,210619153,London,Flat / Apartment
283,Unfurnished,South,not available,Freehold,0,76872500,London,House
284,Unfurnished,East,available,Freehold,0,183833000,London,Flat / Apartment
285,Unfurnished,West,available,Freehold,0,552222500,London,Flat / Apartment
286,Unfurnished,North,available,Freehold,0,132287500,London,New development
287,Unfurnished,South,available,Freehold,0,51479800,London,New development
288,Unfurnished,East,available,Freehold,0,356799713,London,Penthouse
289,Furnished,West,not available,Freehold,0,117458153,London,Flat / Apartment
290,Unfurnished,North,available,Freehold,0,276263053,London,House
291,Unfurnished,South,available,Freehold,0,185179360,London,Flat / Apartment
292,Unfurnished,East,available,Freehold,0,132287500,London,Flat / Apartment
293,Unfurnished,West,available,Freehold,0,69480837,London,Flat / Apartment
294,Unfurnished,North,available,Freehold,0,83006640,London,House
295,Unfurnished,South,available,Freehold,0,49900000,London,House
296,Unfurnished,East,available,Freehold,0,265486240,London,Flat / Apartment
297,Unfurnished,West,available,Freehold,0,635841865,London,House
298,Unfurnished,North,available,Freehold,0,72118457,London,House
299,Unfurnished,South,available,Freehold,0,80824100,London,House
300,Unfurnished,East,available,Freehold,0,55587600,London,Flat / Apartment
301,Unfurnished,West,available,Freehold,0,198388930,London,Flat / Apartment
302,Unfurnished,North,available,Freehold,0,71480854,London,House
303,Unfurnished,South,available,Freehold,0,198388930,London,House
304,Unfurnished,East,available,Freehold,0,171155000,London,Flat / Apartment
305,Unfurnished,West,available,Freehold,0,79677500,London,Flat / Apartment
306,Unfurnished,North,available,Freehold,0,38371000,London,House
307,Unfurnished,South,available,Freehold,0,73510500,London,Flat / Apartment
308,Unfurnished,East,available,Freehold,0,921155500,London,New development
309,Unfurnished,West,not available,Freehold,0,179858000,London,House
310,Unfurnished,North,not available,Freehold,0,51325800,London,House
311,Unfurnished,South,available,Freehold,0,202674000,London,House
312,Unfurnished,East,available,Freehold,0,322296000,London,Flat / Apartment
313,Unfurnished,West,not available,Freehold,0,187315484,London,New development
314,Unfurnished,North,available,Freehold,0,57669600,London,House
315,Unfurnished,South,available,Freehold,0,62516892,London,House
316,Furnished,East,not available,Freehold,0,181670000,London,Flat / Apartment
317,Unfurnished,West,not available,Freehold,0,219171448,London,House
318,Unfurnished,North,available,Freehold,0,430196322,London,House
319,Unfurnished,South,available,Freehold,0,132287500,London,House
320,Unfurnished,East,not available,Freehold,0,131857153,London,Flat / Apartment
321,Unfurnished,West,not available,Freehold,0,89568457,London,Flat / Apartment
322,Unfurnished,North,available,Freehold,0,73510500,London,House
323,Unfurnished,South,available,Freehold,0,339857415,London,House
324,Unfurnished,East,available,Freehold,0,178754000,London,Flat / Apartment
325,Unfurnished,West,available,Freehold,0,61168320,London,House
326,Unfurnished,North,available,Freehold,0,132287500,London,Flat / Apartment
327,Unfurnished,South,not available,Freehold,0,122598000,London,House
328,Unfurnished,East,available,Freehold,0,107911647,London,House
329,Unfurnished,West,available,Freehold,0,160274834,London,House
330,Unfurnished,North,not available,Freehold,0,249282000,London,Flat / Apartment
331,Unfurnished,South,available,Freehold,0,96301940,London,Flat / Apartment
332,Unfurnished,East,not available,Freehold,0,119881653,London,House
333,Unfurnished,West,available,Freehold,0,120574553,London,Flat / Apartment
334,Unfurnished,North,not available,Freehold,0,117526000,London,Flat / Apartment
335,Unfurnished,South,available,Freehold,0,100331000,London,House
336,Unfurnished,East,not available,Freehold,0,105590322,London,House
337,Unfurnished,West,available,Freehold,0,55193500,London,House
338,Unfurnished,North,not available,Freehold,0,110181715,London,New development
339,Unfurnished,South,available,Freehold,0,564520000,London,Flat / Apartment
340,Unfurnished,East,available,Freehold,0,676328794,London,Penthouse
341,Unfurnished,West,available,Freehold,0,1000000,London,Flat / Apartment
342,Unfurnished,North,available,Freehold,0,37199920,London,Flat / Apartment
343,Unfurnished,South,not available,Freehold,0,70621552,London,House
344,Unfurnished,East,not available,Freehold,0,22256920,London,Flat / Apartment
345,Unfurnished,West,not available,Freehold,0,164185000,London,House
346,Unfurnished,North,available,Freehold,0,91600780,London,New development
347,Furnished,South,available,Freehold,0,1909436800,London,House
348,Furnished,East,available,Freehold,0,116506000,London,Flat / Apartment
349,Unfurnished,West,not available,Freehold,0,301792640,London,Flat / Apartment
350,Unfurnished,North,available,Freehold,0,121793500,London,Flat / Apartment
351,Unfurnished,South,available,Freehold,0,57669600,London,New development
352,Unfurnished,East,not available,Freehold,0,111235280,London,Flat / Apartment
353,Unfurnished,West,available,Freehold,0,155898280,London,Flat / Apartment
354,Unfurnished,North,available,Freehold,0,89707150,London,Flat / Apartment
355,Unfurnished,South,available,Freehold,0,35437943,London,New development
356,Unfurnished,East,available,Freehold,0,100331000,London,New development
357,Unfurnished,West,not available,Freehold,0,73510500,London,New development
358,Unfurnished,North,available,Freehold,0,221843160,London,Penthouse
359,Unfurnished,South,available,Freehold,0,137565360,London,Flat / Apartment
360,Unfurnished,East,available,Freehold,0,198388930,London,Flat / Apartment
361,Unfurnished,West,available,Freehold,0,137102940,London,Flat / Apartment
362,Unfurnished,North,available,Freehold,0,135111200,London,House
363,Unfurnished,South,available,Freehold,0,150750300,London,New development
364,Unfurnished,East,available,Freehold,0,179858000,London,New development
365,Furnished,West,available,Freehold,0,112881000,London,New development
366,Unfurnished,North,available,Freehold,0,99932700,London,Flat / Apartment
367,Unfurnished,South,available,Freehold,0,333220856,London,Flat / Apartment
368,Unfurnished,East,available,Freehold,0,70621552,London,Flat / Apartment
369,Unfurnished,West,available,Freehold,0,129280250,London,Flat / Apartment
370,Unfurnished,North,available,Freehold,0,393450000,London,Penthouse
371,Unfurnished,South,available,Freehold,0,48091600,London,Penthouse
372,Unfurnished,East,available,Freehold,0,642170600,London,New development
373,Unfurnished,West,available,Freehold,0,160274000,London,House
374,Unfurnished,North,available,Freehold,0,99765500,London,New development
375,Unfurnished,South,available,Freehold,0,2431742000,London,New development
376,Unfurnished,East,available,Freehold,0,111235280,London,Penthouse
377,Unfurnished,West,available,Freehold,0,75433533,London,Penthouse
378,Unfurnished,North,not available,Freehold,0,251506000,London,House
379,Unfurnished,South,available,Freehold,0,51325800,London,House
380,Unfurnished,East,available,Freehold,0,236673000,London,New development
381,Unfurnished,West,available,Freehold,0,482652000,London,House
382,Unfurnished,North,available,Freehold,0,96726000,London,New development
383,Unfurnished,South,available,Freehold,0,39250800,London,New development
384,Unfurnished,East,not available,Freehold,0,195033000,London,Flat / Apartment
385,Unfurnished,West,not available,Freehold,0,146906043,London,House
386,Unfurnished,North,available,Freehold,0,213147280,London,New development
387,Unfurnished,South,available,Freehold,0,269655000,London,New development
388,Unfurnished,East,available,Freehold,0,65185713,London,House
389,Unfurnished,West,available,Freehold,0,479295300,London,Flat / Apartment
390,Unfurnished,North,available,Freehold,0,74490800,London,New development
391,Unfurnished,South,available,Freehold,0,240270000,London,New development
392,Furnished,East,not available,Freehold,0,76216500,London,New development
393,Unfurnished,West,available,Freehold,0,61002840,London,New development
394,Unfurnished,North,available,Freehold,0,48192960,London,New development
395,Furnished,South,available,Freehold,0,455287000,London,New development
396,Unfurnished,East,available,Freehold,0,96518864,London,Flat / Apartment
397,Unfurnished,West,available,Freehold,0,197241000,London,House
398,Unfurnished,North,available,Freehold,0,54599080,London,New development
399,Unfurnished,South,available,Freehold,0,124980000,London,New development
400,Unfurnished,East,available,Freehold,0,950000,London,Flat / Apartment
401,Unfurnished,West,available,Freehold,0,799999,London,House
402,Unfurnished,North,available,Freehold,0,2500000,London,Penthouse
403,Unfurnished,South,available,Freehold,0,6450000,London,New development
404,Unfurnished,East,available,Freehold,0,2250000,London,Flat / Apartment
405,Unfurnished,West,available,Freehold,0,2500000,London,House
406,Furnished,North,available,Freehold,0,475000,London,Flat / Apartment
407,Unfurnished,South,available,Freehold,0,560000,London,House
408,Unfurnished,East,available,Freehold,0,610000,London,Flat / Apartment
409,Unfurnished,West,available,Freehold,0,600000,London,New development
410,Furnished,North,available,Freehold,0,615000,London,Flat / Apartment
411,Unfurnished,South,available,Freehold,0,625000,London,House
412,Unfurnished,East,not available,Freehold,0,600000,London,New development
413,Unfurnished,West,available,Freehold,0,650000,London,House
414,Unfurnished,North,available,Freehold,0,1285000,London,House
415,Furnished,South,available,Freehold,0,1795000,London,House
416,Unfurnished,East,available,Freehold,0,825000,London,Penthouse
417,Unfurnished,West,available,Freehold,0,2350000,London,New development
418,Unfurnished,North,available,Freehold,0,2350000,London,House
419,Furnished,South,available,Freehold,0,2500000,London,House
420,Unfurnished,East,available,Freehold,0,675000,London,House
421,Furnished,West,available,Freehold,0,4650000,London,Flat / Apartment
422,Unfurnished,North,available,Freehold,0,1695000,London,House
423,Unfurnished,South,available,Freehold,0,1050000,London,House
424,Unfurnished,East,available,Freehold,0,1200000,London,Flat / Apartment
425,Unfurnished,West,available,Freehold,0,625000,London,Flat / Apartment
426,Unfurnished,North,available,Freehold,0,649950,London,Flat / Apartment
427,Unfurnished,South,available,Freehold,0,450000,London,Penthouse
428,Unfurnished,East,available,Freehold,0,3450000,London,New development
429,Unfurnished,West,available,Freehold,0,995000,London,Flat / Apartment
430,Unfurnished,West,available,Freehold,0,795000,London,House
431,Unfurnished,East,available,Freehold,0,1775000,London,New development
432,Unfurnished,West,available,Freehold,0,1295000,London,House
433,Unfurnished,South,not available,Freehold,0,975000,London,House
434,Unfurnished,North,available,Freehold,0,1100000,London,House
435,Unfurnished,North,available,Freehold,0,549950,London,House
436,Unfurnished,East,not available,Freehold,0,295000,London,House
437,Unfurnished,West,available,Freehold,0,2600000,London,Flat / Apartment
438,Unfurnished,South,available,Freehold,0,700000,London,House
439,Unfurnished,South,not available,Freehold,0,3950000,London,House
440,Unfurnished,West,not available,Freehold,0,1500000,London,House
441,Unfurnished,North,available,Freehold,0,1350000,London,New development
