Sr_No,Carpet Area,Status,floor ,Transition type,Year Built,Price per sqft
204,1120,Under Contract,one floor,Not Available,2001,72525
205,1000,Available for Sale,one floor,Not Available,2006,90364
206,1440,Under Contract,one floor,Not Available,2013,45791
207,1792,Active,one floor,Not Available,2003,50490
208,836,Available for Sale,one floor,Not Available,2004,43719
209,400,Under Contract,one floor,Not Available,2012,2827
210,800,Active,one floor,Not Available,2004,14232
211,1100,Available for Sale,one floor,Not Available,2008,25226
212,1800,Under Contract,one floor,Not Available,2016,57128
213,3700,Active,one floor,Not Available,2024,19316
214,2000,Under Contract,one floor,Not Available,2010,35328
215,950,Available for Sale,one floor,Not Available,2021,49728
216,1500,Active,one floor,Not Available,2011,34738
217,1200,Under Contract,one floor,Not Available,2018,42513
218,1600,Available for Sale,one floor,Not Available,2010,47580
219,1850,Active,one floor,Not Available,2022,2827
220,980,Available for Sale,one floor,Not Available,2023,14232
221,1800,Under Contract,one floor,Not Available,2015,25226
222,2300,Active,one floor,Not Available,2020,57128
223,800,Under Contract,one floor,Not Available,2016,19316
224,900,Available for Sale,one floor,Not Available,2021,35328
225,800,Under Contract,one floor,Not Available,2011,49728
226,850,Active,one floor,Not Available,2024,34738
227,720,Available for Sale,one floor,Not Available,2017,42513
228,8000,Under Contract,one floor,Not Available,2012,47580
229,1500,Active,one floor,Not Available,2008,14559
230,2400,Available for Sale,one floor,Not Available,2014,27288
231,1800,Under Contract,one floor,Not Available,2020,32375
232,2000,Active,one floor,Not Available,2002,60213
233,1250,Under Contract,one floor,Not Available,2010,43329
234,3000,Available for Sale,one floor,Not Available,2004,9270
235,1800,Active,multiple,Not Available,2018,5951
236,85,Under Contract,multiple,Not Available,2014,7181
237,221,Available for Sale,multiple,Not Available,2021,6642
238,77,Active,multiple,Not Available,2012,7195
239,45,Under Contract,multiple,Not Available,2006,7776
240,173,Available for Sale,multiple,Not Available,2010,7086
241,63,Active,multiple,Not Available,2008,8654
242,145,Under Contract,multiple,Not Available,2023,14235
243,71,Available for Sale,multiple,Not Available,2018,10657
244,374,Under Contract,multiple,Not Available,2002,5271
245,329,Active,multiple,Not Available,2004,6257
246,584,Available for Sale,multiple,Not Available,2013,3923
247,85,Under Contract,multiple,Not Available,2024,6933
248,71,Active,multiple,Not Available,2011,8599
249,503,Available for Sale,multiple,Not Available,2023,202657
250,185,Under Contract,multiple,Not Available,2000,6353
251,381,Active,multiple,Not Available,2020,23624
252,127,Available for Sale,multiple,Not Available,2009,144521
253,93,Under Contract,multiple,Not Available,2023,9233
254,65,Active,multiple,Not Available,2012,6232
255,328,Available for Sale,multiple,Not Available,2016,135708
256,343,Under Contract,multiple,Not Available,2010,213894
257,83,Active,multiple,Not Available,2001,114314
258,52,Available for Sale,multiple,Not Available,2019,6407
259,120,Under Contract,multiple,Not Available,2010,77817
260,129,Active,multiple,Not Available,2007,4519
261,256,Under Contract,multiple,Not Available,2016,8296
262,73,Available for Sale,multiple,Not Available,2006,6994
263,89,Active,multiple,Not Available,2020,15890
264,64,Under Contract,multiple,Not Available,2015,9003
265,165,Available for Sale,multiple,Not Available,2008,6559
266,166,Under Contract,multiple,Not Available,2024,156445
267,104,Active,multiple,Not Available,2005,175644
268,232,Available for Sale,multiple,Not Available,2005,99900
269,251,Under Contract,multiple,Not Available,2021,6785
270,147,Active,multiple,Not Available,2019,9951
271,82,Available for Sale,multiple,Not Available,2015,62652
272,129,Under Contract,multiple,Not Available,2013,106419
273,206,Active,multiple,Not Available,2005,11230
274,145,Under Contract,multiple,Not Available,2020,7669
275,95,Available for Sale,multiple,Not Available,2011,6197
276,73,Active,multiple,Not Available,2014,16549
277,1095,Under Contract,multiple,Not Available,2007,9020
278,208,Available for Sale,multiple,Not Available,2001,17294
279,64,Under Contract,multiple,Not Available,2021,5356
280,243,Active,multiple,Not Available,2017,3942
281,606,Available for Sale,multiple,Not Available,2002,114851
282,173,Under Contract,multiple,Not Available,2002,6230
283,95,Active,multiple,Not Available,2000,5237
284,133,Available for Sale,multiple,Not Available,2019,6358
285,249,Under Contract,multiple,Not Available,2021,3931
286,141,Active,multiple,Not Available,2014,7728
287,62,Under Contract,multiple,Not Available,2024,3907
288,236,Available for Sale,multiple,Not Available,2020,11070
289,133,Active,multiple,Not Available,2013,18958
290,270,Under Contract,multiple,Not Available,2020,6444
291,164,Available for Sale,multiple,Not Available,2016,2934
292,87,Under Contract,multiple,Not Available,2018,27907
293,104,Active,multiple,Not Available,2003,3422
294,121,Available for Sale,multiple,Not Available,2013,11579
295,266,Under Contract,multiple,Not Available,2003,4696
296,69,Active,multiple,Not Available,2000,6984
297,538,Available for Sale,multiple,Not Available,2012,9782
298,519,Under Contract,multiple,Not Available,2011,7671
299,104,Active,multiple,Not Available,2008,14046
300,91,Under Contract,multiple,Not Available,2022,7906
301,48,Available for Sale,multiple,Not Available,2009,11037
302,633,Active,multiple,Not Available,2016,5226
303,407,Under Contract,multiple,Not Available,2001,7685
304,146,Available for Sale,multiple,Not Available,2004,5589
305,47,Active,multiple,Not Available,2006,16431
306,185,Available for Sale,multiple,Not Available,2019,10239
307,127,Under Contract,multiple,Not Available,2011,5988
308,108,Active,multiple,Not Available,2020,4975
309,178,Under Contract,multiple,Not Available,2004,6714
310,199,Available for Sale,multiple,Not Available,2024,6946
311,142,Under Contract,multiple,Not Available,2005,20496
312,57,Active,multiple,Not Available,2013,1542
313,84,Available for Sale,multiple,Not Available,2000,1895
314,272,Under Contract,multiple,Not Available,2017,2178
315,141,Active,multiple,Not Available,2022,1583
316,110,Available for Sale,multiple,Not Available,2012,2898
317,115,Under Contract,multiple,Not Available,2019,1906
318,186,Active,multiple,Not Available,2016,3202
319,165,Under Contract,multiple,Not Available,2022,1807
320,96,Available for Sale,multiple,Not Available,2020,728
321,50,Active,multiple,Not Available,2001,2588
322,82,Under Contract,multiple,Not Available,2015,3483
323,211,Available for Sale,multiple,Not Available,2018,1224
324,63,Active,multiple,Not Available,2023,81922
325,210,Under Contract,multiple,Not Available,2017,79294
326,71,Available for Sale,multiple,Not Available,2014,5068
327,195,Active,multiple,Not Available,2013,8045
328,209,Under Contract,multiple,Not Available,2006,5782
329,372,Available for Sale,multiple,Not Available,2002,2496
330,52,Active,multiple,Not Available,2008,1537
331,119,Available for Sale,multiple,Not Available,2000,1257
332,297,Under Contract,multiple,Not Available,2021,1593
333,213,Active,multiple,Not Available,2003,628
334,235,Available for Sale,multiple,Not Available,2023,12961
335,236,Under Contract,multiple,Not Available,2002,4210
336,219,Active,multiple,Not Available,2019,2233
337,121,Available for Sale,multiple,Not Available,2012,2373
338,183,Under Contract,multiple,Not Available,2024,2605
339,116,Active,multiple,Not Available,2010,2352
340,233,Available for Sale,multiple,Not Available,2021,2791
341,118,Under Contract,multiple,Not Available,2010,2996
342,149,Active,multiple,Not Available,2009,3242
343,176,Under Contract,multiple,Not Available,2015,2227
344,246,Available for Sale,multiple,Not Available,2013,1664
345,76,Active,multiple,Not Available,2013,6653
346,64,Under Contract,multiple,Not Available,2018,2851
347,68,Available for Sale,multiple,Not Available,2007,5465
348,296,Under Contract,multiple,Not Available,2019,2147
349,108,Active,multiple,Not Available,2021,4014
350,399,Available for Sale,multiple,Not Available,2005,1390
351,76,Under Contract,multiple,Not Available,2022,1405
352,169,Active,multiple,Not Available,2009,3218
353,158,Available for Sale,multiple,Not Available,2018,2334
354,660,Under Contract,multiple,Not Available,2011,2373
355,190,Active,multiple,Not Available,2018,1981
356,133,Under Contract,multiple,Not Available,2004,3163
357,176,Available for Sale,multiple,Not Available,2014,8806
358,238,Active,multiple,Not Available,2013,7725
359,213,Under Contract,multiple,Not Available,2018,4641
360,90,Available for Sale,multiple,Not Available,2012,22264
361,90,Under Contract,multiple,Not Available,2016,3063
362,376,Active,multiple,Not Available,2015,11304
363,174,Available for Sale,multiple,Not Available,2016,6813
364,59,Under Contract,multiple,Not Available,2010,1181
365,117,Active,multiple,Not Available,2012,6079
366,130,Available for Sale,multiple,Not Available,2017,3097
367,190,Under Contract,multiple,Not Available,2015,4174
368,388,Active,multiple,Not Available,2017,3097
369,146,Under Contract,multiple,Not Available,2011,3817
370,158,Available for Sale,multiple,Not Available,2023,4371
371,230,Active,multiple,Not Available,2010,2507
372,291,Under Contract,multiple,Not Available,2023,13427
373,196,Available for Sale,multiple,Not Available,2023,5926
374,145,Under Contract,multiple,Not Available,2009,4180
375,475,Active,multiple,Not Available,2003,2922
376,480,Available for Sale,multiple,Not Available,2022,1785
377,190,Under Contract,multiple,Not Available,2023,4279
378,206,Active,multiple,Not Available,2017,2109
379,92,Available for Sale,multiple,Not Available,2018,4040
380,232,Under Contract,multiple,Not Available,2011,1346
381,120,Active,multiple,Not Available,2004,1519
382,69,Under Contract,multiple,Not Available,2024,1037
383,482,Available for Sale,multiple,Not Available,2012,1535
384,247,Active,multiple,Not Available,2019,1624
385,367,Under Contract,multiple,Not Available,2011,1744
386,101,Available for Sale,multiple,Not Available,2006,2309
387,41,Active,multiple,Not Available,2003,1403
388,38,Under Contract,multiple,Not Available,2019,5875
389,55,Available for Sale,multiple,Not Available,2000,2798
390,220,Active,multiple,Not Available,2008,7305
391,46,Available for Sale,multiple,Not Available,2009,3242
392,279,Under Contract,multiple,Not Available,2011,2609
393,127,Active,multiple,Not Available,2013,3124
394,193,Available for Sale,multiple,Not Available,2018,2913
395,261,Under Contract,multiple,Not Available,2016,1461
396,205,Active,multiple,Not Available,2013,1658
397,285,Under Contract,multiple,Not Available,2015,12346
398,256,Available for Sale,multiple,Not Available,2017,1989
399,209,Under Contract,multiple,Not Available,2019,2987
400,217,Active,multiple,Not Available,2018,4389
401,77,Available for Sale,multiple,Not Available,2018,2068
402,53,Under Contract,multiple,Not Available,2005,5867
403,123,Active,multiple,Not Available,2021,1142
404,273,Available for Sale,multiple,Not Available,2008,2146
405,87,Under Contract,multiple,Not Available,2018,2929
406,184,Active,multiple,Not Available,2012,3912
407,550,Under Contract,multiple,Not Available,2014,3079
408,268,Available for Sale,multiple,Not Available,2022,1569
409,51,Active,multiple,Not Available,2015,2819
410,192,Under Contract,multiple,Not Available,2003,7328
411,239,Available for Sale,multiple,Not Available,2014,16256
412,326,Active,multiple,Not Available,2005,447
413,71,Under Contract,multiple,Not Available,2006,879
414,60,Available for Sale,multiple,Not Available,2011,730
415,176,Under Contract,multiple,Not Available,2013,904
416,236,Active,multiple,Not Available,2017,736
417,80,Available for Sale,multiple,Not Available,2014,1573
418,248,Under Contract,multiple,Not Available,2007,1423
419,170,Active,multiple,Not Available,2014,1896
420,58,Available for Sale,multiple,Not Available,2004,1401
421,136,Under Contract,multiple,Not Available,2018,840
422,136,Active,multiple,Not Available,2001,909
423,142,Under Contract,multiple,Not Available,2012,1026
424,215,Available for Sale,multiple,Not Available,2009,2002
425,122,Active,multiple,Not Available,2019,873
426,73,Under Contract,multiple,Not Available,2008,489
427,112,Available for Sale,multiple,Not Available,2012,713
428,238,Under Contract,multiple,Not Available,2024,787
429,53,Active,multiple,Not Available,2009,974
430,87,Available for Sale,multiple,Not Available,2017,982
431,175,Under Contract,multiple,Not Available,2004,1505
432,606,Active,multiple,Not Available,2015,2219
433,391,Available for Sale,multiple,Not Available,2022,1076
434,341,Under Contract,multiple,Not Available,2000,1052
435,250,Active,multiple,Not Available,2001,1315
436,61,Under Contract,multiple,Not Available,2016,1184
437,252,Available for Sale,multiple,Not Available,2020,581
438,43,Active,multiple,Not Available,2021,1270
439,160,Under Contract,multiple,Not Available,2012,1196
440,182,Available for Sale,multiple,Not Available,2024,696
441,71,Under Contract,multiple,Not Available,2024,648
442,54,Active,multiple,Not Available,2008,900
443,94,Available for Sale,multiple,Not Available,2010,1445
444,95,Under Contract,multiple,Not Available,2021,2317
445,92,Active,multiple,Not Available,2001,1400
446,107,Available for Sale,multiple,Not Available,2008,1622
447,326,Under Contract,multiple,Not Available,2016,1683
448,178,Active,multiple,Not Available,2020,866
449,154,Under Contract,multiple,Not Available,2007,1134
450,169,Available for Sale,multiple,Not Available,2006,1404
451,88,Active,multiple,Not Available,2000,1114
452,86,Under Contract,multiple,Not Available,2014,1332
453,158,Available for Sale,multiple,Not Available,2020,1308
454,194,Active,multiple,Not Available,2019,1482
455,47,Under Contract,multiple,Not Available,2007,3047
456,468,Available for Sale,multiple,Not Available,2018,1034
457,287,Active,multiple,Not Available,2017,3369
458,402,Available for Sale,multiple,Not Available,2008,719
459,145,Under Contract,multiple,Not Available,2010,2594
460,106,Active,multiple,Not Available,2022,759
461,181,Available for Sale,multiple,Not Available,2005,3427
462,255,Under Contract,multiple,Not Available,2006,299
463,78,Active,multiple,Not Available,2013,1610
464,110,Under Contract,multiple,Not Available,2018,2221
465,73,Available for Sale,multiple,Not Available,2024,647
466,179,Under Contract,multiple,Not Available,2004,924
467,80,Active,multiple,Not Available,2002,952
468,180,Available for Sale,multiple,Not Available,2020,1544
469,129,Under Contract,multiple,Not Available,2004,1869
470,97,Active,three floors,Not Available,2017,1080
471,178,Available for Sale,three floors,Not Available,2018,3121
472,53,Under Contract,three floors,Not Available,2019,876
473,133,Active,three floors,Not Available,2010,2837
474,129,Under Contract,three floors,Not Available,2011,1561
475,46,Available for Sale,three floors,Not Available,2011,1193
476,96,Active,three floors,Not Available,2016,1795
477,95,Under Contract,three floors,Not Available,2019,1453
478,58,Available for Sale,three floors,Not Available,2012,1120
479,107,Active,three floors,Not Available,2010,2030
480,497,Under Contract,three floors,Not Available,2001,1741
481,86,Available for Sale,three floors,Not Available,2021,2448
482,253,Under Contract,three floors,Not Available,2011,1212
483,66,Active,three floors,Not Available,2009,1070
484,133,Available for Sale,three floors,Not Available,2015,744
485,219,Under Contract,three floors,Not Available,2022,1665
486,803,Active,three floors,Not Available,2015,1593
487,189,Available for Sale,three floors,Not Available,2015,1757
488,113,Under Contract,three floors,Not Available,2002,833
489,219,Active,three floors,Not Available,2008,953
490,127,Under Contract,three floors,Not Available,2013,720
491,63,Available for Sale,one floor,Not Available,2012,1595
492,46,Active,three floors,Not Available,2020,928
493,293,Under Contract,three floors,Not Available,2024,800
494,151,Available for Sale,three floors,Not Available,2016,1885
495,71,Under Contract,three floors,Not Available,2003,1786
496,150,Active,three floors,Not Available,2010,1596
497,207,Available for Sale,three floors,Not Available,2013,753
498,116,Under Contract,three floors,Not Available,2008,710
499,200,Active,three floors,Not Available,2009,1089
500,215,Available for Sale,three floors,Not Available,2024,2657
501,362,Under Contract,multiple,Not Available,2013,1102
502,120,Active,multiple,Not Available,2022,1510
503,159,Under Contract,multiple,Not Available,2024,947
504,85,Available for Sale,multiple,Not Available,2003,1396
505,209,Active,multiple,Not Available,2021,1320
506,255,Under Contract,multiple,Not Available,2015,1076
507,83,Available for Sale,multiple,Not Available,2016,1831
508,124,Under Contract,multiple,Not Available,2016,1127
509,150,Active,multiple,Not Available,2000,920
510,304,Available for Sale,multiple,Not Available,2006,1611
511,160,Under Contract,multiple,Not Available,2010,908
512,72,Active,multiple,Not Available,2003,1645
513,66,Available for Sale,multiple,Not Available,2012,1856
514,63,Under Contract,multiple,Not Available,2011,1315
515,87,Active,multiple,Not Available,2021,1498
516,313,Under Contract,multiple,Not Available,2005,1781
517,120,Available for Sale,multiple,Not Available,2009,994
518,145,Active,multiple,Not Available,2023,1432
519,178,Under Contract,multiple,Not Available,2010,1011
520,380,Available for Sale,multiple,Not Available,2011,1156
521,183,Under Contract,multiple,Not Available,2023,1386
522,250,Active,multiple,Not Available,2007,2265
523,106,Available for Sale,multiple,Not Available,2009,1736
524,590,Under Contract,multiple,Not Available,2012,2534
525,74,Active,multiple,Not Available,2014,1176
526,244,Available for Sale,multiple,Not Available,2013,1111
527,260,Under Contract,multiple,Not Available,2006,1503
528,187,Active,multiple,Not Available,2009,927
529,188,Under Contract,multiple,Not Available,2021,1281
530,214,Available for Sale,multiple,Not Available,2012,1455
531,93,Active,multiple,Not Available,2007,1173
532,185,Under Contract,multiple,Not Available,2011,928
533,176,Available for Sale,multiple,Not Available,2004,883
534,53,Under Contract,multiple,Not Available,2018,1591
535,47,Active,multiple,Not Available,2021,835
536,178,Available for Sale,multiple,Not Available,2018,2096
537,190,Under Contract,multiple,Not Available,2016,1085
538,80,Active,multiple,Not Available,2014,1593
539,100,Available for Sale,multiple,Not Available,2006,1188
540,228,Under Contract,multiple,Not Available,2014,1057
541,137,Active,multiple,Not Available,2007,1484
542,245,Under Contract,multiple,Not Available,2010,1717
543,170,Available for Sale,multiple,Not Available,2015,1161
544,79,Active,multiple,Not Available,2013,957
545,127,Under Contract,multiple,Not Available,2020,1742
546,79,Available for Sale,multiple,Not Available,2023,1887
547,75,Under Contract,multiple,Not Available,2015,1716
548,66,Active,multiple,Not Available,2005,2238
549,201,Available for Sale,multiple,Not Available,2004,1719
550,360,Under Contract,multiple,Not Available,2007,945
551,84,Active,multiple,Not Available,2002,998
552,185,Available for Sale,multiple,Not Available,2004,846
553,113,Under Contract,multiple,Not Available,2013,2138
554,212,Active,multiple,Not Available,2023,1499
555,129,Under Contract,multiple,Not Available,2011,1690
556,158,Available for Sale,multiple,Not Available,2007,1679
557,184,Active,multiple,Not Available,2020,846
558,112,Under Contract,multiple,Not Available,2015,2810
559,88,Available for Sale,multiple,Not Available,2019,1265
560,170,Under Contract,multiple,Not Available,2011,1304
561,66,Active,multiple,Not Available,2000,1496
562,1048,Available for Sale,multiple,Not Available,2019,2995
563,198,Under Contract,multiple,Not Available,2023,2488
564,127,Active,multiple,Not Available,2006,1251
565,71,Available for Sale,multiple,Not Available,2023,986
